id,weighting,tenure_type,region,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000315,5789.421764112334,owner occupied,London,25963,20-29 years,NA,NA,freehold
20220000316,2382.121837768746,owner occupied,South East,45253,20-29 years,NA,NA,freehold
20220000322,786.3233756706061,owner occupied,West Midlands,35100,5-9 years,NA,NA,freehold
20220000323,825.6423430477773,owner occupied,North West,42722.8,3-4 years,NA,90,freehold
20220000325,13563.688045788393,owner occupied,East,30112.5,20-29 years,NA,NA,freehold
20220000326,1843.831729561753,private rented,North West,32581.3,5-9 years,150,NA,NA
20220000331,4736.796298286399,owner occupied,South East,41870,3-4 years,NA,303.8698549509003,freehold
20220000332,769.1474288818833,local authority,Yorkshire and the Humber,74118.9436,30+ years,124.6153846153846,NA,NA
20220000333,2438.9810168776858,owner occupied,East,74981.05,5-9 years,NA,165.03846153846155,freehold
20220000335,2608.6597029484024,owner occupied,South East,6972.5,one year,NA,0.02307692307692308,freehold
20220000339,4658.279132025685,owner occupied,South East,40990.88,less than 1 year,NA,291.8557702183313,freehold
20220000343,1376.7861752663616,owner occupied,North West,16699.8,20-29 years,NA,66.92307692307692,freehold
20220000347,5861.940647703449,owner occupied,East Midlands,35638.95,3-4 years,NA,NA,freehold
20220000352,7144.7632427458875,owner occupied,South East,67774.8,two years,NA,173.07692307692307,freehold
20220000354,12889.086589338776,owner occupied,West Midlands,65675,3-4 years,NA,237.86563782022137,freehold
20220000356,2168.8537121775016,owner occupied,East,10751,20-29 years,NA,NA,freehold
20220000378,3459.3616338710813,owner occupied,North West,24700,30+ years,NA,NA,freehold
20220000385,3415.35736902012,owner occupied,East,9209,30+ years,NA,NA,freehold
20220000387,2311.593373896208,owner occupied,South East,28501,30+ years,NA,NA,freehold
20220000392,2099.008547061822,local authority,North East,17178.75,5-9 years,70.29585798816566,NA,NA
20220000402,3296.2425605357766,owner occupied,East,100000,two years,NA,576.9230769230769,freehold
20220000404,1135.9140827774618,housing association,East,22100,10-19 years,85,NA,NA
20220000409,3094.890534570299,private rented,Yorkshire and the Humber,57226.55,3-4 years,159.23076923076923,NA,NA
20220000410,2015.3947287065528,private rented,Yorkshire and the Humber,8644.48,one year,80.76923076923077,NA,NA
20220000412,1909.648603984384,private rented,South East,8387.88,5-9 years,184.6153846153846,NA,NA
20220000413,2430.6658938219994,owner occupied,London,27300,20-29 years,54,0.02307692307692308,leasehold
20220000416,1343.419481035608,local authority,West Midlands,14310,30+ years,83,NA,NA
20220000417,4435.996552372164,owner occupied,North East,50812.5,3-4 years,NA,92.3076923076923,freehold
20220000419,2441.517142179426,owner occupied,London,25637.5,5-9 years,NA,138.46153846153845,leasehold
20220000421,6265.164506929392,owner occupied,North West,38201.544,5-9 years,NA,175.1134621309988,freehold
20220000423,727.3188904202359,private rented,North West,18468.32,less than 1 year,143.07692307692307,NA,NA
20220000425,2262.999485285339,housing association,South East,8965.2024,3-4 years,130,NA,NA
20220000426,3288.8205188045335,housing association,East,7902,10-19 years,104.3076923076923,NA,NA
20220000431,6139.338920994162,housing association,North West,49500,5-9 years,118.84615384615384,NA,NA
20220000434,4519.693480816036,owner occupied,South West,10730.56,20-29 years,NA,152.95356371974268,freehold
20220000435,837.3929764992818,owner occupied,North West,17219.8,3-4 years,NA,351.9034902997449,freehold
20220000437,3616.529799993502,owner occupied,West Midlands,47714.8,less than 1 year,NA,110.76923076923076,freehold
20220000448,1668.472064334259,owner occupied,North West,56052.5,5-9 years,NA,138.92307692307693,leasehold
20220000451,1433.157307999967,local authority,North East,18275,3-4 years,67.01183431952663,NA,NA
20220000453,2041.1069624319216,owner occupied,West Midlands,22484,30+ years,NA,NA,freehold
20220000454,1846.8771774599672,owner occupied,South East,100000,20-29 years,NA,392.3076923076923,freehold
20220000455,1667.1560415243832,owner occupied,North West,24965,20-29 years,NA,NA,freehold
20220000456,2549.8199994371175,owner occupied,East,91683.5,30+ years,NA,NA,freehold
20220000461,3543.6565453096127,owner occupied,East Midlands,53306.05,3-4 years,NA,NA,freehold
20220000465,2424.6469577511043,owner occupied,North West,69226.4456,30+ years,NA,NA,freehold
20220000470,1212.1549841079054,private rented,South East,66875,less than 1 year,288.46153846153845,NA,NA
20220000474,7887.895548933366,owner occupied,Yorkshire and the Humber,36400,5-9 years,NA,87.6923076923077,freehold
20220000475,1698.644180824586,private rented,East,29975,two years,161.53846153846155,NA,NA
20220000477,915.1364985350176,housing association,South West,28780,two years,76.68639053254438,NA,NA
20220000480,1667.227386980438,owner occupied,North West,76299.8,10-19 years,NA,NA,freehold
20220000481,5745.366532022281,owner occupied,Yorkshire and the Humber,100000,30+ years,NA,NA,freehold
20220000490,2384.6238248043596,owner occupied,South West,15803,30+ years,NA,NA,freehold
20220000492,1766.73976802813,owner occupied,South East,100000,10-19 years,NA,242.30769230769232,freehold
20220000493,1984.5979701054696,owner occupied,South East,44255,10-19 years,NA,NA,freehold
20220000494,3480.2611984990517,owner occupied,West Midlands,33545,3-4 years,NA,NA,freehold
20220000495,598.654589043276,local authority,South West,13520,two years,67.3076923076923,NA,NA
20220000497,2290.8404248575443,owner occupied,South East,59722.5,5-9 years,NA,NA,freehold
20220000499,5406.283950354282,private rented,East,32114.16,10-19 years,0,NA,NA
20220000503,2446.472141815798,private rented,East,19662.8,5-9 years,150,NA,NA
20220000504,4832.508405744233,private rented,Yorkshire and the Humber,5564,10-19 years,103.84615384615384,NA,NA
20220000510,1571.3172109621028,private rented,West Midlands,6118.92,less than 1 year,130.3846153846154,NA,NA
20220000523,3182.9874733910215,owner occupied,West Midlands,47075,30+ years,NA,NA,leasehold
20220000526,2032.9872550084815,owner occupied,South East,44200,5-9 years,NA,NA,freehold
20220000527,1930.070492525416,housing association,East,33100,20-29 years,111.23076923076924,NA,NA
20220000528,344.007627417343,owner occupied,South East,51284.1496,two years,NA,728.855901817436,leasehold
20220000531,621.9341920772011,owner occupied,London,100000,10-19 years,NA,2121.2640089703737,freehold
20220000532,643.2399944556997,local authority,East,15709.2,one year,87.5,NA,NA
20220000533,2478.115365915438,owner occupied,West Midlands,82691,20-29 years,NA,NA,freehold
20220000536,4989.723039031184,private rented,East,24795.8,less than 1 year,150,NA,NA
20220000543,4556.842477472283,private rented,Yorkshire and the Humber,19240,3-4 years,196.15384615384616,NA,NA
20220000547,1191.946514371717,local authority,South East,22302,20-29 years,103.84615384615384,NA,NA
20220000552,1889.055347667848,owner occupied,West Midlands,37447.5,20-29 years,NA,NA,freehold
20220000554,297.8090225723413,owner occupied,South East,6245,one year,NA,161.53846153846155,freehold
20220000563,2310.0455135684692,owner occupied,South East,27825,30+ years,NA,NA,freehold
20220000566,3154.3344822676736,private rented,West Midlands,28094,30+ years,161.53846153846155,NA,NA
20220000568,370.3916266737993,private rented,West Midlands,83875,less than 1 year,160.3846153846154,NA,NA
20220000570,4186.7501335269735,owner occupied,Yorkshire and the Humber,26107,30+ years,NA,NA,freehold
20220000573,5459.4459258198085,owner occupied,South East,30057.5,10-19 years,NA,115.3846153846154,freehold
20220000574,1172.049841147457,housing association,North East,9209,10-19 years,70,NA,NA
20220000575,2208.59375019991,owner occupied,London,57798,30+ years,NA,NA,freehold
