id,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000986,13220.48,5-9 years,98.53846153846153,0.02307692307692308,NA
20220000990,36357.8592,20-29 years,NA,107.59379365580138,freehold
20220000991,32955,30+ years,NA,NA,freehold
20220000993,14056,20-29 years,NA,NA,freehold
20220000996,5328.8,3-4 years,79,NA,NA
20220000998,17160,3-4 years,116.53846153846153,NA,NA
20220001007,10715,3-4 years,NA,NA,freehold
20220001011,100000,20-29 years,NA,NA,leasehold
20220001013,94637.5,20-29 years,NA,NA,freehold
20220001016,14099.8,5-9 years,114,NA,NA
20220001018,47580,20-29 years,NA,NA,freehold
20220001022,22143.190000000002,less than 1 year,NA,NA,freehold
20220001023,21195,30+ years,125,NA,NA
20220001026,100000,30+ years,NA,NA,freehold
20220001035,51076.476334,5-9 years,NA,NA,freehold
20220001039,20955,5-9 years,NA,NA,freehold
20220001047,11816.64,5-9 years,137.5,NA,NA
20220001048,53225,20-29 years,NA,98.07692307692308,freehold
20220001049,14560,20-29 years,73.84615384615384,NA,NA
20220001054,25100,30+ years,123.6923076923077,NA,NA
20220001055,100000,5-9 years,NA,161.53846153846155,freehold
20220001057,22343.75,5-9 years,NA,NA,freehold
20220001061,14056,30+ years,NA,NA,freehold
20220001063,30200,5-9 years,133.84615384615384,NA,NA
20220001067,47325,20-29 years,NA,NA,freehold
20220001071,30315.8,5-9 years,NA,115.38461538461539,leasehold
20220001078,17035,5-9 years,156.25,NA,NA
20220001084,18650,30+ years,NA,NA,freehold
20220001087,13000,3-4 years,NA,NA,freehold
20220001089,70077.5,10-19 years,NA,NA,freehold
20220001093,46237.5,two years,NA,138.46153846153845,freehold
20220001096,44909.5,30+ years,NA,NA,freehold
20220001105,19020.56,5-9 years,90,NA,NA
20220001112,65300,3-4 years,NA,106.15384615384616,freehold
20220001120,17197.5,3-4 years,144.23076923076923,NA,NA
20220001121,100000,two years,380.7692307692308,NA,NA
20220001122,35649,30+ years,NA,NA,freehold
20220001123,45690.7947,3-4 years,NA,440.1564285919146,freehold
20220001125,66518.14,3-4 years,NA,323.0769230769231,freehold
20220001127,31285,30+ years,NA,NA,freehold
20220001134,7135,10-19 years,NA,16.153846153846153,freehold
20220001138,100000,10-19 years,NA,600,freehold
20220001139,62271.5367,5-9 years,NA,230.76923076923077,leasehold
20220001140,81777.5,30+ years,NA,NA,freehold
20220001145,14941.68,3-4 years,95.76923076923077,NA,NA
20220001146,55097.17,10-19 years,NA,88.72415414637273,freehold
20220001147,36652.92,less than 1 year,125.45375727438372,NA,NA
20220001154,19032,less than 1 year,81.25,NA,NA
20220001155,35360,3-4 years,82.15384615384616,NA,NA
20220001160,36660,one year,229.6153846153846,NA,NA
20220001163,31996,20-29 years,NA,NA,freehold
20220001164,38955,30+ years,NA,NA,freehold
20220001165,100000,10-19 years,NA,8.307692307692308,freehold
20220001167,29647.5,10-19 years,NA,NA,freehold
20220001176,37223.55,less than 1 year,NA,154.6153846153846,freehold
20220001182,20191.8078,less than 1 year,92.3076923076923,NA,NA
20220001187,9316.5,30+ years,NA,NA,freehold
20220001191,93337.5,5-9 years,NA,106.15384615384616,freehold
20220001192,81112.56,10-19 years,NA,184.6153846153846,freehold
20220001196,16025.36,two years,150,NA,NA
20220001198,14056,3-4 years,NA,NA,freehold
20220001199,14274,10-19 years,79,NA,NA
20220001201,29959.8,5-9 years,84.09763313609467,NA,NA
20220001202,10998.55,20-29 years,115,NA,NA
20220001205,28001.850000000002,5-9 years,NA,73.15384615384616,freehold
20220001207,11141.64,10-19 years,83,NA,NA
20220001209,10405,30+ years,NA,NA,freehold
20220001214,29975,5-9 years,64.61538461538461,NA,NA
20220001225,100000,one year,NA,NA,freehold
20220001228,16212.5,20-29 years,NA,NA,freehold
20220001229,16129.36,30+ years,94,NA,NA
20220001241,68537.5,3-4 years,150,NA,NA
20220001242,25547,3-4 years,NA,NA,freehold
20220001245,23920,one year,144.23076923076923,NA,NA
20220001247,23174,20-29 years,NA,NA,freehold
20220001250,27266,10-19 years,NA,NA,freehold
20220001251,54860,20-29 years,NA,NA,freehold
20220001257,53044.8,one year,252.69230769230768,NA,NA
20220001258,72721,one year,NA,148.3846153846154,freehold
20220001262,55051.4888,20-29 years,NA,276.9230769230769,freehold
20220001274,14400,10-19 years,NA,NA,freehold
20220001276,67034.05,two years,NA,230.76923076923077,freehold
20220001278,29665,30+ years,NA,NA,freehold
20220001279,25237.4256,less than 1 year,NA,483.5816412643235,freehold
20220001283,100000,5-9 years,NA,253.84615384615384,freehold
20220001284,13201,5-9 years,84,NA,NA
20220001286,87845.4251,10-19 years,62.130177514792905,NA,NA
20220001292,100000,10-19 years,NA,196.15384615384616,freehold
20220001293,55600.3,30+ years,NA,NA,freehold
20220001300,46020,3-4 years,NA,108.46153846153847,freehold
20220001301,29900,10-19 years,NA,118.84615384615384,freehold
20220001305,20576,one year,124,NA,NA
20220001309,77002.8,10-19 years,NA,115.38461538461539,freehold
20220001312,32257.5,30+ years,NA,NA,freehold
20220001314,33859.5,one year,NA,NA,freehold
20220001315,93414.68,5-9 years,NA,NA,leasehold
20220001317,100000,30+ years,NA,NA,freehold
20220001319,45375,10-19 years,NA,NA,freehold
20220001323,17665.5,3-4 years,77.53846153846153,NA,NA
20220001324,27300,5-9 years,140.76923076923077,NA,NA
20220001326,6474,3-4 years,74.03846153846153,NA,NA
20220001328,30315.8,two years,83.65384615384616,NA,NA
20220001334,25575,20-29 years,NA,NA,freehold
20220001336,64085,10-19 years,NA,NA,freehold
20220001342,9948,10-19 years,84.92307692307692,NA,NA
20220001345,100000,20-29 years,NA,NA,freehold
20220001348,95325,5-9 years,NA,246.92307692307693,freehold
20220001350,40635,two years,52.38461538461539,53.07692307692308,leasehold
20220001352,18275,one year,NA,62.30769230769231,freehold
20220001357,45295,30+ years,NA,NA,freehold
20220001358,65880.3,5-9 years,NA,182.30769230769232,freehold
20220001366,52967.3,two years,NA,173.07692307692307,freehold
20220001371,100000,one year,NA,346.15384615384613,freehold
20220001374,45998.9406,10-19 years,121.15384615384616,NA,NA
20220001375,71989.94,5-9 years,NA,226.15384615384616,freehold
20220001379,38252.5,5-9 years,NA,NA,freehold
20220001382,13224.08,two years,76,NA,NA
20220001385,13212.5,30+ years,NA,NA,freehold
20220001390,12709,10-19 years,88.61538461538461,NA,NA
20220001398,38085,10-19 years,NA,151.6094365149928,freehold
20220001399,45767.8,5-9 years,113.46153846153847,NA,NA
20220001400,100000,10-19 years,NA,300,freehold
20220001405,64195,10-19 years,131.25,NA,NA
20220001408,20751,20-29 years,NA,NA,freehold
20220001410,42416,30+ years,NA,NA,freehold
20220001414,63075,one year,334.61538461538464,NA,NA
20220001418,100000,one year,NA,463.84615384615387,freehold
20220001419,24910.8,5-9 years,150,NA,NA
20220001421,97780,20-29 years,96.92307692307692,NA,NA
20220001422,81397,10-19 years,NA,NA,freehold
20220001423,32039.8,10-19 years,69.23076923076923,NA,NA
20220001425,25890.66,5-9 years,NA,157.8846153846154,freehold
20220001431,18348.72,20-29 years,NA,90,leasehold
20220001432,27827.8,two years,196.15384615384616,NA,NA
20220001437,20887.5,10-19 years,NA,NA,freehold
20220001439,18555.8,30+ years,123.37278106508877,NA,NA
20220001440,100000,two years,NA,NA,freehold
20220001442,91732.5,10-19 years,NA,83.07692307692308,freehold
20220001443,82277.5,less than 1 year,NA,215.53846153846155,freehold
20220001445,19056,30+ years,NA,NA,freehold
20220001448,46840,5-9 years,0,NA,NA
20220001453,68206.25,3-4 years,NA,101.53846153846153,freehold
20220001455,30290,5-9 years,NA,NA,freehold
20220001461,43437.5,10-19 years,NA,144.23076923076923,freehold
20220001468,46807.8,10-19 years,NA,136.937555561929,freehold
20220001470,19386.25,one year,NA,NA,freehold
20220001473,52756.56,10-19 years,131.53846153846155,NA,NA
20220001474,75737.5,3-4 years,253.84615384615384,NA,NA
20220001475,13037.5,less than 1 year,205.3846153846154,NA,NA
20220001483,87319.69,3-4 years,NA,230.76923076923077,freehold
20220001485,85290,20-29 years,NA,156.92307692307693,freehold
20220001486,62769.0328,20-29 years,NA,418.6438074255585,freehold
20220001488,81715,10-19 years,NA,184.6153846153846,freehold
20220001493,17533.75,30+ years,NA,NA,freehold
20220001510,20298.75,5-9 years,84.92307692307692,NA,NA
20220001513,18200,two years,103,NA,NA
20220001516,14690,5-9 years,NA,NA,freehold
20220001520,82800,5-9 years,NA,298.5388048640424,freehold
20220001525,22030,10-19 years,NA,NA,freehold
20220001526,12709,30+ years,115.38461538461539,NA,NA
20220001531,49400,10-19 years,NA,126.92307692307692,freehold
20220001533,100000,less than 1 year,323.0769230769231,NA,NA
20220001539,47596.0135,one year,108,NA,NA
20220001540,95074.8,20-29 years,NA,87,freehold
20220001541,36199.8,5-9 years,86.53846153846153,NA,NA
